                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1881,                0.30952,                      1,                 1.1189,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 1.0556,                0.42857,                      1,                 1.0686,             0.00013118,             0.00013118,             0.00013118
                      3,                  1.062,                    0.5,                      1,                 1.0511,             0.00019339,             0.00019339,             0.00019339
                      4,                 1.0477,                0.57143,                      1,                 1.0312,             0.00025089,             0.00025089,             0.00025089
                      5,                0.99052,                 0.7381,                      1,                0.98054,             0.00030368,             0.00030368,             0.00030368
                      6,                0.92267,                0.78571,                      1,                0.88177,             0.00035175,             0.00035175,             0.00035175
                      7,                0.81699,                 0.7619,                      1,                 0.9167,             0.00039511,             0.00039511,             0.00039511
                      8,                0.78186,                0.78571,                      1,                0.87175,             0.00043376,             0.00043376,             0.00043376
                      9,                0.78007,                0.80952,                      1,                0.79733,              0.0004677,              0.0004677,              0.0004677
                     10,                0.70665,                0.80952,                      1,                0.78327,             0.00049692,             0.00049692,             0.00049692
                     11,                0.66773,                0.83333,                      1,                0.78041,             0.00047838,             0.00047838,             0.00047838
                     12,                0.59162,                0.85714,                      1,                0.74437,             0.00047838,             0.00047838,             0.00047838
                     13,                0.62089,                0.90476,                      1,                0.72148,             0.00045482,             0.00045482,             0.00045482
                     14,                0.56819,                0.88095,                      1,                 0.7226,             0.00043126,             0.00043126,             0.00043126
                     15,                0.49469,                0.88095,                      1,                0.69926,             0.00040769,             0.00040769,             0.00040769
                     16,                0.56988,                0.85714,                      1,                0.72365,             0.00038413,             0.00038413,             0.00038413
                     17,                0.57336,                0.90476,                      1,                0.70671,             0.00036057,             0.00036057,             0.00036057
                     18,                0.49921,                0.92857,                      1,                0.66227,             0.00033701,             0.00033701,             0.00033701
                     19,                0.49846,                0.92857,                      1,                0.66765,             0.00031345,             0.00031345,             0.00031345
                     20,                 0.4321,                0.92857,                      1,                0.65122,             0.00028988,             0.00028988,             0.00028988
                     21,                0.57189,                0.95238,                      1,                0.65045,             0.00026632,             0.00026632,             0.00026632
                     22,                 0.5839,                0.97619,                      1,                0.65025,             0.00024276,             0.00024276,             0.00024276
                     23,                0.54043,                0.97619,                      1,                0.65595,              0.0002192,              0.0002192,              0.0002192
                     24,                0.41833,                0.90476,                      1,                0.67267,             0.00019564,             0.00019564,             0.00019564
                     25,                0.49962,                0.95238,                      1,                0.65136,             0.00017207,             0.00017207,             0.00017207
                     26,                0.45826,                0.90476,                      1,                0.69303,             0.00014851,             0.00014851,             0.00014851
                     27,                0.45756,                0.92857,                      1,                 0.6675,             0.00012495,             0.00012495,             0.00012495
                     28,                0.48826,                0.97619,                      1,                0.64968,             0.00010139,             0.00010139,             0.00010139
                     29,                0.39985,                0.95238,                      1,                0.62038,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.52233,                0.97619,                      1,                0.64481,             5.4264e-05,             5.4264e-05,             5.4264e-05
